onset	duration	EV	action	clicked_on_loss_card	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	worker_id
360.631	2.353	1.4451969252372463	draw_card	0.0	columbia_card_task_fmri	9.0	0.9090909090909092	89.0	-100.0	0.0909090909090909	16.0	6.0	1.0	-0.6375219310046063	2.353	n/a	stim	s610
362.986	0.855	0.4542878343281562	draw_card	0.0	columbia_card_task_fmri	9.0	0.9	89.0	-100.0	0.1	16.0	7.0	1.0	0.7235051560184047	0.855	n/a	stim	s610
363.843	4.631	-0.7568232767829541	draw_card	0.0	columbia_card_task_fmri	9.0	0.8888888888888888	89.0	-100.0	0.1111111111111111	16.0	8.0	1.0	2.2750664058406045	4.631	n/a	stim	s610
368.476	1.932	-2.2707121656718434	draw_card	0.0	columbia_card_task_fmri	9.0	0.875	89.0	-100.0	0.125	16.0	9.0	1.0	4.064022452628457	1.932	n/a	stim	s610
370.41	3.812	-4.217140737100413	draw_card	0.0	columbia_card_task_fmri	9.0	0.8571428571428572	89.0	-100.0	0.1428571428571428	16.0	10.0	1.0	6.153508134428421	3.812	n/a	stim	s610
374.224	6.808	-6.812378832338508	end_round	0.0	columbia_card_task_fmri	9.0	0.8333333333333334	71.0	-100.0	0.1666666666666666	16.0	11.0	1.0	8.628931467759635	6.808	10.0	stim	s610
381.038	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
383.288	0.068	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
383.359	2.523	5.479287834328156	draw_card	1.0	columbia_card_task_fmri	15.0	0.875	89.0	-80.0	0.125	16.0	1.0	2.0	-0.5547545865023196	2.523	1.0	stim	s610
385.886	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
388.136	0.068	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
388.207	1.272	7.604287834328156	draw_card	0.0	columbia_card_task_fmri	16.0	0.875	89.0	-70.0	0.125	16.0	1.0	2.0	-3.5220366352102133	1.272	n/a	stim	s610
389.48	2.439	6.887621167661489	draw_card	0.0	columbia_card_task_fmri	16.0	0.8666666666666667	89.0	-70.0	0.1333333333333333	16.0	2.0	2.0	-2.732113138113256	2.439	n/a	stim	s610
391.922	1.456	6.068573548613871	draw_card	0.0	columbia_card_task_fmri	16.0	0.8571428571428572	89.0	-70.0	0.1428571428571428	16.0	3.0	2.0	-1.875454844091525	1.456	n/a	stim	s610
393.38	0.928	5.123518603558924	draw_card	0.0	columbia_card_task_fmri	16.0	0.8461538461538461	89.0	-70.0	0.1538461538461538	16.0	4.0	2.0	-0.9430448970636718	0.928	n/a	stim	s610
394.31	1.244	4.020954500994824	draw_card	0.0	columbia_card_task_fmri	16.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	16.0	5.0	2.0	0.0755240235065741	1.244	n/a	stim	s610
395.556	4.18	2.717924197964518	draw_card	0.0	columbia_card_task_fmri	16.0	0.8181818181818181	89.0	-70.0	0.1818181818181818	16.0	6.0	2.0	1.1920458182565667	4.18	n/a	stim	s610
399.739	2.348	1.1542878343281573	draw_card	0.0	columbia_card_task_fmri	16.0	0.8	89.0	-70.0	0.2	16.0	7.0	2.0	2.4193323407480563	2.348	n/a	stim	s610
402.089	2.548	-0.7568232767829541	draw_card	0.0	columbia_card_task_fmri	16.0	0.7777777777777778	89.0	-70.0	0.2222222222222222	16.0	8.0	2.0	3.769907602745427	2.548	n/a	stim	s610
404.639	9.029	-3.1457121656718434	end_round	0.0	columbia_card_task_fmri	16.0	0.75	71.0	-70.0	0.25	16.0	9.0	2.0	5.252302586068623	9.029	8.0	stim	s610
413.673	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
415.923	0.068	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
415.994	5.347	8.916787834328156	draw_card	0.0	columbia_card_task_fmri	30.0	0.6875	89.0	-45.0	0.3125	16.0	1.0	5.0	2.7819234382659985	5.347	n/a	stim	s610
421.342	3.62	7.35428783432816	end_round	0.0	columbia_card_task_fmri	30.0	0.6666666666666667	71.0	-45.0	0.3333333333333333	16.0	2.0	5.0	3.3725019406669787	3.62	1.0	stim	s610
