onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
76.87	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.52	orange	3.0	task_switch	magnitude	switch	s603	0
78.974	1.0	0.1	False	89.0	High-Low	switch	twobytwo	71.0	1.104	blue	4.0	cue_switch	magnitude	stay	s603	0
81.217	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	1.032	orange	1.0	cue_switch	magnitude	stay	s603	0
84.121	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.774	blue	1.0	task_switch	color	switch	s603	0
86.361	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	1.113	orange	4.0	task_switch	magnitude	switch	s603	0
89.948	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.56	orange	8.0	cue_stay	magnitude	stay	s603	0
92.329	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.853	orange	2.0	cue_stay	magnitude	stay	s603	0
95.372	1.0	0.9	False	89.0	Orange-Blue	n/a	twobytwo	71.0	1.01	blue	8.0	task_switch	color	switch	s603	0
98.278	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.421	blue	4.0	task_switch	magnitude	switch	s603	0
100.521	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	1.152	orange	8.0	task_switch	color	switch	s603	0
103.308	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.624	blue	1.0	task_switch	magnitude	switch	s603	0
106.486	1.0	0.9	False	89.0	High-Low	switch	twobytwo	71.0	0.583	blue	2.0	cue_switch	magnitude	stay	s603	0
109.393	1.0	0.9	False	89.0	Color	n/a	twobytwo	-1.0	n/a	blue	7.0	task_switch	color	switch	s603	0
112.297	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.485	blue	3.0	cue_stay	color	stay	s603	0
114.54	1.0	0.1	True	89.0	Color	stay	twobytwo	89.0	0.909	blue	9.0	cue_stay	color	stay	s603	0
117.446	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.516	blue	7.0	cue_stay	color	stay	s603	0
119.553	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.849	orange	7.0	cue_switch	color	stay	s603	0
122.465	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	1.069	orange	4.0	task_switch	magnitude	switch	s603	0
124.841	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	1.079	blue	1.0	task_switch	color	switch	s603	0
127.356	1.0	0.1	True	89.0	Color	stay	twobytwo	89.0	0.781	blue	7.0	cue_stay	color	stay	s603	0
130.268	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.424	blue	8.0	cue_stay	color	stay	s603	0
