onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
435.503	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.916	89.0	False	crit_go	s604
437.758	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.54	89.0	False	noncrit_nosignal	s604
440.614	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.278	89.0	False	noncrit_nosignal	s604
442.871	0.85	0.1	89.0	motor_selective_stop_signal	71.0	0.646	89.0	False	crit_go	s604
446.327	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.545	89.0	False	noncrit_signal	s604
448.683	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.612	89.0	False	noncrit_signal	s604
451.039	0.85	0.1	89.0	motor_selective_stop_signal	71.0	0.479	89.0	False	crit_go	s604
453.395	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.614	89.0	False	crit_stop_failure	s604
455.851	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.561	89.0	False	noncrit_signal	s604
458.408	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.535	89.0	False	crit_go	s604
460.765	0.85	0.05	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
463.017	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.413	89.0	False	crit_go	s604
465.273	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.677	89.0	False	crit_go	s604
468.324	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.985	89.0	False	crit_go	s604
470.777	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.469	89.0	False	noncrit_nosignal	s604
473.13	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
475.382	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
478.638	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.493	89.0	False	crit_go	s604
481.59	0.85	0.2	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
484.144	0.85	0.25	89.0	motor_selective_stop_signal	71.0	0.336	89.0	False	crit_go	s604
486.496	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
489.052	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.509	89.0	False	crit_go	s604
491.407	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.446	89.0	False	crit_go	s604
493.663	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.972	89.0	False	noncrit_signal	s604
496.119	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.354	89.0	False	noncrit_nosignal	s604
498.471	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.39	89.0	False	noncrit_signal	s604
501.127	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.717	89.0	False	crit_go	s604
503.379	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.533	89.0	False	crit_stop_failure	s604
505.635	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.609	89.0	False	noncrit_nosignal	s604
508.087	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.632	89.0	False	noncrit_nosignal	s604
510.343	0.85	0.25	89.0	motor_selective_stop_signal	71.0	0.484	89.0	False	crit_stop_failure	s604
512.9	0.85	0.2	89.0	motor_selective_stop_signal	71.0	0.805	89.0	False	crit_go	s604
515.154	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.601	89.0	False	noncrit_signal	s604
517.51	0.85	0.2	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
530.282	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
532.838	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.508	89.0	False	crit_go	s604
535.391	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.349	89.0	False	noncrit_nosignal	s604
537.747	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.355	89.0	False	noncrit_nosignal	s604
540.103	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.454	89.0	False	noncrit_nosignal	s604
542.358	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.344	89.0	False	noncrit_signal	s604
544.814	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.762	89.0	False	crit_go	s604
547.07	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.429	89.0	False	noncrit_signal	s604
549.524	0.85	0.3	89.0	motor_selective_stop_signal	71.0	0.388	89.0	False	crit_stop_failure	s604
552.176	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.492	89.0	False	noncrit_nosignal	s604
554.63	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.696	89.0	False	crit_go	s604
556.986	0.85	0.25	71.0	motor_selective_stop_signal	71.0	1.69	89.0	False	noncrit_signal	s604
559.242	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.574	89.0	False	crit_go	s604
561.797	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.518	89.0	False	crit_go	s604
564.051	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.557	89.0	False	noncrit_nosignal	s604
566.303	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.424	89.0	False	noncrit_nosignal	s604
568.658	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.466	89.0	False	noncrit_nosignal	s604
570.914	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.862	89.0	False	noncrit_signal	s604
