onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
160.973	4.0	larger_later	discount_fixed	89	43.0	19.0	1.515	20.0	larger_later	s541
165.545	4.0	smaller_sooner	discount_fixed	71	60.0	124.0	1.376	20.0	smaller_sooner	s541
170.186	4.0	smaller_sooner	discount_fixed	71	27.0	142.0	1.216	20.0	smaller_sooner	s541
175.099	4.0	smaller_sooner	discount_fixed	71	25.0	70.0	1.125	20.0	smaller_sooner	s541
179.602	4.0	smaller_sooner	discount_fixed	71	44.0	92.0	1.448	20.0	smaller_sooner	s541
184.584	4.0	smaller_sooner	discount_fixed	71	41.0	27.0	1.037	20.0	smaller_sooner	s541
189.497	4.0	smaller_sooner	discount_fixed	71	64.0	89.0	2.392	20.0	smaller_sooner	s541
194.066	4.0	smaller_sooner	discount_fixed	71	78.0	108.0	1.391	20.0	smaller_sooner	s541
198.569	4.0	smaller_sooner	discount_fixed	71	80.0	145.0	0.976	20.0	smaller_sooner	s541
204.774	4.0	smaller_sooner	discount_fixed	71	41.0	174.0	1.496	20.0	smaller_sooner	s541
209.484	4.0	smaller_sooner	discount_fixed	71	42.0	145.0	0.94	20.0	smaller_sooner	s541
214.533	4.0	smaller_sooner	discount_fixed	71	36.0	114.0	0.931	20.0	smaller_sooner	s541
219.579	4.0	larger_later	discount_fixed	89	58.0	55.0	2.383	20.0	larger_later	s541
